state,hs_grads_to_college_rate
Alabama,0.66
Alaska,0.41
Arizona,0.5
Arkansas,0.63
California,0.66
Colorado,0.58
Connecticut,0.78
Delaware,0.71
Florida,0.65
Georgia,0.65
Hawaii,0.61
Idaho,0.44
Illinois,0.62
Indiana,0.61
Iowa,0.66
Kansas,0.62
Kentucky,0.64
Louisiana,0.69
Maine,0.59
Maryland,0.65
Massachusetts,0.74
Michigan,0.65
Minnesota,0.68
Mississippi,0.8
Missouri,0.59
Montana,0.54
Nebraska,0.63
Nevada,0.58
New Hampshire,0.61
New Jersey,0.74
New Mexico,0.61
New York,0.72
North Carolina,0.63
North Dakota,0.61
Ohio,0.63
Oklahoma,0.57
Oregon,0.56
Pennsylvania,0.62
Rhode Island,0.7
South Carolina,0.69
South Dakota,0.69
Tennessee,0.69
Texas,0.58
Utah,0.47
Vermont,0.55
Virginia,0.69
Washington,0.53
West Virginia,0.55
Wisconsin,0.58
Wyoming,0.56
Nation,0.64
